Subregion_type	Subregion_abbreviation	chromosome	start	end	size
Pseudo-autosomal	PAR1	chrY	10000	2781479	2771480
X-degenerate	XDR1	chrY	2781480	3049682	268203
X-transposed	XTR1	chrY	3049683	6234809	3185127
Ampliconic	AMPL1	chrY	6234810	6532527	297718
X-transposed	XTR2	chrY	6532528	6748297	215770
X-degenerate	XDR2	chrY	6748298	7586094	837797
Ampliconic	AMPL2	chrY	7586095	10130374	2544280
Others	other1	chrY	10130375	10197195	66821
Heterochromatic	HET1_centro1	chrY	10197196	10203018	5823
Heterochromatic	HET1_centroDYZ3	chrY	10203019	10626584	423566
Heterochromatic	HET1_centro2	chrY	10626585	11749309	1122725
X-degenerate	XDR3	chrY	11749310	13984445	2235136
Ampliconic	AMPL3	chrY	13984446	14058287	73842
X-degenerate	XDR4	chrY	14058288	15874849	1816562
Ampliconic	AMPL4	chrY	15874850	15904951	30102
X-degenerate	XDR5	chrY	15904952	16159547	254596
Ampliconic	AMPL5	chrY	16159548	16425803	266256
X-degenerate	XDR6	chrY	16425804	17455802	1029999
Ampliconic	AMPL6	chrY	17455803	18870186	1414384
X-degenerate	XDR7	chrY	18870187	20054847	1184661
Heterochromatic	HET2_DYZ19	chrY	20054848	20351037	296190
X-degenerate	XDR8	chrY	20351038	21335746	984709
Ampliconic	AMPL7	chrY	21335747	26644162	5308416
Others	other2_DYZ18	chrY	26644163	27078487	434325
Heterochromatic	HET3_Yq	chrY	27078488	56887901	29809414
Pseudo-autosomal	PAR2	chrY	56887902	57217415	329514
